,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
fa_rate[15],0.29,0.01,0.27,0.3,0.0,0.0,6814.88,3158.02,1.0
fa_rate[16],0.08,0.0,0.07,0.08,0.0,0.0,6288.24,3375.53,1.0
fa_rate[17],0.08,0.0,0.07,0.08,0.0,0.0,7423.47,3453.34,1.0
fa_rate[18],0.29,0.01,0.28,0.3,0.0,0.0,8046.45,3116.65,1.0
fa_rate[19],0.29,0.01,0.28,0.31,0.0,0.0,7380.36,3351.54,1.0
fa_rate[20],0.08,0.0,0.07,0.08,0.0,0.0,6514.54,3084.39,1.0
fa_rate[21],0.08,0.0,0.07,0.08,0.0,0.0,6786.08,2939.34,1.0
fa_rate[22],0.28,0.01,0.27,0.3,0.0,0.0,8322.52,2931.49,1.0
fa_rate[23],0.29,0.01,0.27,0.3,0.0,0.0,6768.85,3025.84,1.0
fa_rate[24],0.08,0.0,0.07,0.08,0.0,0.0,5930.25,2899.3,1.0
fa_rate[25],0.08,0.0,0.07,0.08,0.0,0.0,7627.14,2830.63,1.0
fa_rate[26],0.29,0.01,0.28,0.3,0.0,0.0,7604.8,2758.52,1.0
fa_rate[27],0.29,0.01,0.28,0.31,0.0,0.0,8112.02,3103.24,1.0
fa_rate[28],0.08,0.0,0.07,0.08,0.0,0.0,5408.63,3139.77,1.0
fa_rate[29],0.08,0.0,0.08,0.09,0.0,0.0,6439.48,2848.39,1.0
fa_rate[30],0.3,0.01,0.28,0.31,0.0,0.0,5780.15,3127.67,1.0
fa_rate[31],0.3,0.01,0.29,0.31,0.0,0.0,5707.3,3203.64,1.0
fa_rate[32],0.08,0.0,0.07,0.08,0.0,0.0,6037.31,2941.15,1.0
fa_rate[33],0.08,0.0,0.08,0.09,0.0,0.0,7473.59,2995.31,1.0
fa_rate[34],0.29,0.01,0.28,0.31,0.0,0.0,7660.67,2911.72,1.0
fa_rate[35],0.3,0.01,0.28,0.31,0.0,0.0,7467.16,3225.71,1.0
fa_rate[36],0.08,0.0,0.07,0.08,0.0,0.0,5775.81,3264.51,1.0
fa_rate[37],0.08,0.0,0.07,0.08,0.0,0.0,7314.32,2856.76,1.0
fa_rate[38],0.29,0.01,0.28,0.31,0.0,0.0,7695.82,3220.03,1.0
fa_rate[39],0.3,0.01,0.28,0.31,0.0,0.0,7234.48,3269.04,1.0
